Customer Number,Customer Name,Street Address,City/County,Phone Number,Sales Rep Number,Sales Rep Name,location
104002,Constant Farms Limited,Odogbolu Ijebu -Ode Ogun State,Ijebu- ode,8033017486,513,Godwin Esenyie,Ijebu- Ode
104003,Crownwealth Project Monatan,"NO 2, Agboola Street, Monatan Ibadan",Oyo State,8037127063,513,Godwin Esenyie,Ibadan / Oyo
104005,Akinyemi Farm,Felele Ibadan,Oyo State,8034707206,2000,Raji,Ibadan / Oyo
104010,Capital Feedmills,"NO4, End Close , Oluyole Industrial Estate",Oyo State,8073112434,2000,Raji,Ibadan / Oyo
104014,Akintunde Farm,"Aiyekun Oleyo, Oluyole Local Government",Oyo State,7086472565,2000,Raji,Ibadan / Oyo
104017,Aerobic Integrated concept,"KM135, Lagos - Ibadan Way Academy Hossana Opposite Psylim",Oyo State,8037037673,2000,Raji,Ibadan / Oyo
104018,Modupe Farm,"Plot 18, Futa North Gate Extension Akure Ondo State",Ondo State,8085967102,2000,Raji,Ondo State
104021,Topeck Farm,Apata,Ibadan,1111,2000,Raji,Ibadan / Oyo
104022,Adesola Farm,Apata-,Ibadan,1111,2000,Raji,Ibadan / Oyo
104023,Diamond Agro,"21, Agbaede Ogele , Delta State",Delta State,8033788611,2000,Raji,Delta State
104024,Omega Feedmill,"Oyo West Testing, Along Oyo- Iseyin Express Way Oyo Town",Oyo State,9084726581,509,Folorunso Mark Eniola,Ibadan / Oyo
104025,Adeosun Farm,"Omin-Adio, Apata, Ibadan",Oyo State,8162592956,2000,Raji,Ibadan / Oyo
104027,Ajibade Ventures,Ibadan,Ibadan,8033303289,501,Lateef,Ibadan / Oyo
104028,Best Catfish Farm,Omi - Adio Apata Ibadanl,Oyo State,8033681073,501,Lateef,Ibadan / Oyo
104029,Bamofot Farms,New Ife Road Egbeda Ibadan,Oyo State,8033740710,501,Lateef,Ibadan / Oyo
104031,F.A. Feeds,Ijebu,Ogun State,8033595545,501,Lateef,Ogun State
104032,Felimar Shop,"Bisrod Plaza Mulepa Express Way, Ijebu Ogun State",Ogun State,8036677903,501,Lateef,Ogun State
104034,IDIPR Farm,Aafin Awujale Estate Ijebu - Ode Ogun State,Ogun State,7055540581,501,Lateef,Ogun State
104035,Sheba Feedmills,Olugbode Bus Stop Odo - Ona Apata Ibadan,Oyo State,7042417004,501,Lateef,Ibadan / Oyo
104036,Rabiu Farms,OGBOGBO ERIGO VIA IJEBU ODE,OGUN STATE,877106251,501,Lateef,Ogun State
104037,Mrs. Odutola Farms,Beside Zenith Bank Chief Odutola Compound Ijebu - Ode,Ogun State,8034240167,501,Lateef,Ogun State
104038,Ola Feedmill,"Ibadan, Oyo State",Oyo State,8034240167,501,Lateef,Ibadan / Oyo
104039,Lawal Feedmills,Akure Ondo State,Ondo State,7083895018,501,Lateef,Ondo State
104042,M. Ojo Fish Farm,New Bodila Behind Rofel Hotel Ibadan,Oyo State,8034734764,501,Lateef,Ibadan / Oyo
104043,Phoemix Inv Ltd,Ikare Akoko Ondo State,Ondo State,8057454716,501,Lateef,Ondo State
104044,Vine Branch,"10, Mosafejo Along Sango- Eleyele Road Ibadan",Oyo State,8081060332,501,Lateef,Ibadan / Oyo
104049,Yinkadel Feedmills,"Opposite IDC Primary School,2nd GateOwode Apata, Ibadan.",Oyo State,803282271,501,Lateef,Ibadan / Oyo
104055,Kanmi Farms,Ade-Owe Igbesa road,Ogun State,80333029439,5,Peter,Ogun State
104058,Grace & Truth Feeds,"Sabo Market, Ikorodu",Lagos,8084334809,606,Oladeji Simon Olabisi,Lagos
104059,great solace venture,Opposite Abbatoir Agege Lagos Statel,Lagos State,8060476265,605,Dr. Abdulazeez Abiodun Oyetungi,Lagos
104061,Trends Feeds,"Plot 9, Par adise Street, Ikotun",Lagos,7070210254,6,Mr Dayo,Lagos
104062,Cornerstone Feeds - Fola Afe Agro,General Bus- Stop Abule Egba Lagos State,Lagos,8023771964,6,Mr Dayo,Lagos
104064,Quality Feeds,Abeokuta,Ogun State,834049406,503,Tope,Ogun State
104065,Livestock Specialties,Shagamu,Ogun State,8034466483,503,Tope,Ogun State
104066,Grace Vetrenary Services,Agbara,Ogun State,8037192479,503,Tope,Ogun State
104067,Bhorge Farm,Apete Sango Ibadan,Oyo State,8023515527,2000,Raji,Ibadan / Oyo
104068,Rich Foods Limited,Offa Owode- Egba Road Otun Village VIA Owode- Egba Ogun,Ogun State,8121116644,503,Tope,Ogun State
104073,Jiks Global Ventres,Agege,Lagos,8023058078,6,Mr Dayo,Lagos
104074,AMS - Top,Sango,Ota,8034067413,6,Mr Dayo,Ota
104081,"CapsFeeds, Ibadan","Alakia, Airport Road,Ibadan",Oyo State,8162661637,508,Mr.Adekunle Damilola,Ibadan / Oyo
104082,Karmadex Nig. Ltd.,"Oluyole Industrial Estate, Ibadan",Oyo State,8035835558,5,Peter,Ibadan / Oyo
104083,Fol-Hope Ltd.,"Alakia, Airport Road, Behind Caps Feed",Oyo State,8037243064,508,Mr.Adekunle Damilola,Ibadan / Oyo
104085,ECWA Farms Limited,"KM 2, Damangu Road Off Yelwa CWB Junction, Bukuru,",Jos,8033450059,418,Nancy Daniel,Jos / Plateau
104086,Sussex Farms Ltd.,Moniya,Ibadan,8068879799,5,Peter,Ibadan / Oyo
104087,Feedtech Nig. Ltd.,Kaduna GRA,Kaduna,7065065891,4,Stephen,Kaduna
104089,Dr. Fish,"Apata, Ibadan",Ibadan,8034098554,513,Godwin Esenyie,Ibadan / Oyo
104090,Dr. Ajayi - Deo Gratis,Abeokuta Ogun State,Ogun State,8184964005,2010,Dr Ajayi,Ogun State
104092,Grand Cereal,"Km 17, Zawan Roundabou, Jos Plateau State Nigeria",Jos,8033914844,4,Stephen,Jos / Plateau
104093,Tani Feeds,Ikotun Egbe Lagos State,Lagos State,8033926212,508,Mr.Adekunle Damilola,Lagos
104094,Timmy G Nig. Ent.,"Apata, Ibadan",Oyo State,8054900780,501,Lateef,Ibadan / Oyo
104095,Fidan Investment / Ibadan,"Ibadan, Oyo State",Oyo State,8056111176,5,Peter,Ibadan / Oyo
104097,Floshine Ventures,1 Nissar Quarters Apete Ibadan,Oyo State,8030408600,5,Peter,Ibadan / Oyo
104100,Bnotharel Ltd,Oluyole Industrial Estate,Ibadan,8032367681,5,Peter,Ibadan / Oyo
1041000,Ayo Rapheal Farms,"Imowo Town , Off Gbengbe Road Ikorodu Lagos",Lagos State,8033068507,508,Mr.Adekunle Damilola,Lagos
1041001,ZION G,Along Igo - Ora SapetarinRoad Eruwa Road Oyo State,Oyo State,7066346475,501,Lateef,Ibadan / Oyo
1041002,Hadiraf Farm,Hadiraf Mill Close Rigachukun Kaduna State,Kaduna State,7036579893,4,Stephen,Kaduna
1041003,Danchol Farms Enterprises,Abbl Delta State,Delta State,8030881801,311,Dr.Ogunwemimo Oluwole Leken,Delta State
1041005,Super -Tech Intergrated Farms,Lafenwa Road Via Ayobo Gbagobi Bus- Stop Lagos State,Lagos State,8163638481,606,Oladeji Simon Olabisi,Lagos
1041006,NOVOSELO FARMS,ABUJA RD,KADUNA,8032844434,4,Stephen,Kaduna
1041007,Jideofor Farms Ltd,"No1, Benjamin Street, Odoakpu, Onitsha Anambra State",Anambra State,8063830931,3,Ian,Anambra State
1041008,Muchamad Integrated Farm,Lafia Nassarawa State,Nassarrawa,8036360653,4080,Mr.Ebuga Davide Abdul Malik,Nassarrawa
1041009,Best Mill,"No3, Source of Joy Street, Ikpoba Hill Off Lucky Way Edo",Edo State,8035668819,5,Peter,Edo / Benin
104101,Sony Agro,Gwagwalada,Abuja,7085120236,4,Stephen,Abuja / FCT
1041010,Yohanna's Farms,"Zhewun 111, Masaka Nassarrawa State",Nassarrawa State,8107609925,4080,Mr.Ebuga Davide Abdul Malik,Nassarrawa State
1041011,Mufad Glory Feedmill,"NO52, Obafemi Awolowo Way, Mulepa Express Road Ijebu- Ode",Ogun State,8033075286,5,Peter,Ogun State
1041012,EVEREST FARMS LTD,"87/88 fishfarm estate laspoteeh, odogunyan",LAGOS- IKORODU,8033087335,606,Oladeji Simon Olabisi,Lagos
1041015,Usman Farm,Zaria,Zaria,7036018711,406,Dr.Ize Okeji,Kaduna
1041016,Evmaku Agric,"Opposite Eka Amusement Park, After Total Filling Station",Benin,7062227944,3,Ian,Edo / Benin
1041017,Aisha Farm,Ijebu- Ogbogbo Ogun State,Ogun State,8056323257,501,Lateef,Ogun State
1041018,ABDUL FATAI AND SONS,KM 12 JOS BAUCHI RD JIMPI 2,BAUCHI STAYE,8036416665,409,Basol Musa,Bauchi Staye
1041019,Olaxs Fish Farm,Papa Agura Ikorodu Lagos State,Lagos State,8023912001,508,Mr.Adekunle Damilola,Lagos
1041020,Folashade Farm,Lalupon Via Apatere along Iwo Road Osun State,Osun State,7082158581,509,Folorunso Mark Eniola,Osun State
1041022,Mainland Farm,"Plot 201, Kiyi Abuja",Abuja,8023011190,4,Stephen,Abuja / FCT
1041024,Ossynini Investment Nig Ltd,"Plot3, Town Planning Road, Besides Town Planning Office",Ibadan,8077794184,5,Peter,Ibadan / Oyo
1041025,Owhe Farms,"KM1, Oleh/Ozoro Roundabout, Oleh Isoko South Local",Delta State,8020353881,311,Dr.Ogunwemimo Oluwole Leken,Delta State
1041026,Royal Top Feeds,Masaka Nassarrwa State,Nassarrawa State,8067662133,4080,Mr.Ebuga Davide Abdul Malik,Nassarrawa State
1041030,Shantake Farms,Danbatta Kano State,Kano State,8034502174,4,Stephen,Kano
1041031,Adaeze Farm Limited,"NO,14 Ekene Road Asaba Delta State",Delta State,8094219781,3,Ian,Delta State
1041032,Deenatehj Farms,"Ikangba , Ijebu- Ode Ogun State",Ogun State,8052356337,513,Godwin Esenyie,Ogun State
1041033,ABDUL RACHMAN RAJI,Bauchi,BAUCHI,7068703006,407,Stephen Olushola,Bauchi
1041036,Orisun Iye Farm,Agoro Township Odogbolu Local Government Ogun State,Ogun State,8056755922,5,Peter,Ogun State
1041037,Katleho Farm Ltd,Busari Fish Farm Age mowo Badagry Lagos,Lagos,706964455,6,Mr Dayo,Lagos
1041038,Odiri Omonedo Farm,"NO56, NNPC Complex Road Warri",Warri,7030956333,3,Ian,Delta State
1041039,Rivcho Farm,"No2, Awkuzu Close, Off Aladja avenue Near Enerhen Police",Delta State,8023257939,3,Ian,Delta State
1041040,IJ Cytex Farms,"Ikuku Village, Campus 2 Agbani Road Enugu State",Enugu State,8068409091,3,Ian,Enugu
1041041,Freda Hope Golden Heritage,"Modipa Expressway, Ijebu -Ode Ogun State",Ogun State,8039577763,6,Mr Dayo,Ogun State
1041043,ALBARKA WASCO NIG. LTD.,Agbaraeje Church Busstop Ikotun Lagos,Lagos State,8032514670,6,Mr Dayo,Lagos
1041044,Goshen Fish Farm,"Plot2, Oyesina Layout Orisunbare Estate Jankata Apata,",Ibadan,7068364895,512,Afolabi Michael Abolade,Ibadan / Oyo
1041045,Camberwell Farms,"NO8, Prof Lawerence Eduvie Street Asaba Delta State",Delta State,8033334112,3,Ian,Delta State
1041046,Musgola Investment,"Maizube Quarters, Bosso Estate Minna , Niger State",Niger State,8035883781,407,Stephen Olushola,Niger State
1041047,Agro Flourish,"NO186, Udu Road Before Ovwian Grammar School Warri",Rivers State,8122082194,311,Dr.Ogunwemimo Oluwole Leken,Rivers / PH
1041048,Dinagro,Asadam Ilorin Town Kwara State,Kwara State,8068611673,512,Afolabi Michael Abolade,Ilorin / Kwara
1041049,Dekiewi Farms-ewere,"NO6, Idumwunowina Road , Off Benin Auchi Urora Benin City",Benin Edo State,8133500231,3,Ian,Edo / Benin
104105,Nabest Foods,Ogbomoso Oyo State,Oyo State,8060499404,509,Folorunso Mark Eniola,Ibadan / Oyo
1041053,Masaka Multi Trade Limited,Sokoto State,Sokoto State,7034059990,407,Stephen Olushola,Sokoto State
1041054,Muat World Resources Ltd,"NO117, Hospital Road, Aiyegbami Sagamu Ogun State",Ogun State,8134159601,503,Tope,Ogun State
1041055,God Is Able Feedmill,"No1, Ojurin Akobo Ibadan",Oyo State,80356023770,2040,Oluwole,Ibadan / Oyo
1041056,Molusesi Stores,"No4, Kokunesere Road, Odomogun Ijebu- Mushin Ogun State",Ogun State,7034236362,5,Peter,Ogun State
1041057,Rabiu Kolapo Farm,"Panada, Avenue Jiboye Axis Abeokuta Road Ibadan",Ibadan,8039216556,513,Godwin Esenyie,Ibadan / Oyo
1041059,Obasal Poultry/Livestock Farm,Jigawa State,Jigawa State,8061299231,407,Stephen Olushola,Jigawa State
1041060,Cedar and Grace Farms,"2, Honourable Adedamola Avenue, Irewon,Ijebu-Ode Ogun",Ogun State,8134711034,508,Mr.Adekunle Damilola,Ogun State
1041061,Greenafrica Aqua Farm,"NO50,Awosanya Street, Ajanka, Sgamu Ogun State",Ogun State,8038188386,513,Godwin Esenyie,Ogun State
1041063,Biomat Farm,"KM18, Erinmi Off New Ife Road, Egbeda Ibadan",Oyo State,8136607764,5,Peter,Ibadan / Oyo
1041065,Levate Farms,"No 3, Adejobi Cresent Extension Gbagada Lagos",Lagos State,8167707322,6,Mr Dayo,Lagos
1041066,Ayoola Farm - Ikorodu,Ikorodu Lagos,Ikorodu Lagos,8033068507,6,Mr Dayo,Lagos
1041067,Fandi Intergrated Farms and Allied Ltd,"Gunduma, Karshe Local Government Nassarrawa",Nassarrawa,8066929492,4,Stephen,Nassarrawa
1041068,ADEBANJO TUNDE RAPHAEL,22 SANYO,IBADAN,8106632334,6,Mr Dayo,Ibadan / Oyo
1041070,Royal Farms & Veterinary Enterprises,"D20, Abibat Mogaji BesideTotal Filling Station Opp State","Agage, Lagos",8036868798,6,Mr Dayo,Lagos
1041071,Darasimi Farm,"Jankata Area Along Akala Expreeroad Bola Village Apata,",Ibadan,8037218601,5,Peter,Ibadan / Oyo
1041072,Chicken Empire Farms,"Akufo Farm Settlement, Iddo Local Government Ibadan Eruwa",Oyo State,7031549813,513,Godwin Esenyie,Ibadan / Oyo
1041073,Emmanuel Farm,Ndikpa Umuneze Orumbo South Anambra,Anambra State,7038859586,3,Ian,Anambra State
1041074,Diet Feed Ltd,"KM1, Nnewi Amichai Okigwe Road Anambra State",Anambra State,8033029669,3,Ian,Anambra State
1041075,Farm Ville Estates,"NO163, Nnebusi Road Asaba Delta State",Delta State,8038567093,3,Ian,Delta State
1041076,Lipeju Farm,Atan Owode- Yewa Ogun State,Ogun State,8062149621,503,Tope,Ogun State
1041079,Manificat Farms And Fishery Nigeria Ltd,"Saint James Anglican Church, Shopping Plaza Shop 6&9",Imo State,7031329422,3,Ian,Imo State
1041080,Good Seed Fish Farm,Olaniyan House Beside Foundation Model College Araromi,Oyo Town,8032499077,5,Peter,Ibadan / Oyo
1041081,Adamore Nigeria Limited,"Mobolaji Bank AnthonyWay, Ikeja Lagos",Lagos,803386668,5,Peter,Lagos
1041082,VD & S Feeds Intergrated Nig Ltd,Poka Epe Lagos,Lagos,8053062226,503,Tope,Lagos
1041084,MAIWURNO AGRIC ENTERPRISE,KADUNA RD,SOKOTO,8067816595,407,Stephen Olushola,Sokoto
1041085,Divine Mercy 4cees Farm,Idi- Obi Off Iddo Road Off Manor Farm Oyo State,Oyo State,8161115613,513,Godwin Esenyie,Ibadan / Oyo
1041086,Jusk Fish Farm,Igbe Road Off Ijede Road Elepe Ikorodu Lagos,Lagos State,8060025275,6,Mr Dayo,Lagos
1041088,Super Care Feedmill,"44, Barracks Kaduna",Kaduna,8033330949,4,Stephen,Kaduna
104109,Bulag Feedmill,"Block 10, Shopping Complex, Orita Challenge Ibadan",Oyo State,8033283188,501,Lateef,Ibadan / Oyo
1041091,Eltees Farm,Abeokuta Road Sagamu Ogun State,Ogun State,8064488734,5,Peter,Ogun State
1041092,Unique Breeds,"Aramoko Ado- Ekiti, Ekiti State",Ekiti State,8033988153,509,Folorunso Mark Eniola,Ekiti State
1041094,Zite Farm,Koje Abuja,Abuja,8032024396,4,Stephen,Abuja / FCT
1041095,Jonathan Ventures,"No9, Aba Eje Owode Estate Apata Ibadan",Ibadan,8032108943,5,Peter,Ibadan / Oyo
1041097,Yankary Farm Depot,Bauchi Road Jos,Jos,8037130420,4,Stephen,Jos / Plateau
1041099,Good Land Farm,"Ekwuoma Junction, Abavo Village Agbor Delta State",Delta State,8167800662,311,Dr.Ogunwemimo Oluwole Leken,Delta State
1041100,Ecokleen Farm,"KM22, Keffi Espress road Abuja",Abuja,8068039054,412,Eniolorunda Seun Emmanuel,Abuja / FCT
1041102,I R Intergrated Farm,"KM 11, Owerri Abba Road Imo State",Imo State,7037084328,3,Ian,Imo State
1041105,Noble Farm,Ilora Oyo State,Oyo State,8065308777,509,Folorunso Mark Eniola,Ibadan / Oyo
1041106,Dacco Farm,"KM1, Egbelu Ogbogoro Off Iwoye Road Port Harcourt",Port Harcourt,8169088447,3,Ian,Rivers / PH
1041107,Arogunjo Intergrated Farm,"Ogundele ASG, Local Government Kwara State",Kwara State,9031836948,512,Afolabi Michael Abolade,Ilorin / Kwara
1041108,Eni Farms Ltd,Airport Road Akwa Ibom,Akwa Ibom,7084577930,3,Ian,Akwa Ibom
1041111,GODWIN FARM,"KADUNA-ABUJA EXPRESSWAY, KADUNA.",KADUNA,8028574110,4,Stephen,Kaduna
1041112,ALAYANDE AYANTOLA FARM,KADUNA,KADUNA,8034529589,407,Stephen Olushola,Kaduna
